player_name,team_name,position,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards
Piero Hincapié,Arsenal,D,16,4,12.12121212,169,22,33.84615385,373,371,744,88.88888889,32,50.79365079,31,25,2,0,0,63,2,0,1,4,88,25,0,5,14,72,0,0,1.63358341,0.3566,18,0,33.33333333,4,1,3,19,15,4,1,0,,68,62.3853211,0,0,0,93,26,13,1,20,1792,1,9,1,0,0,0,0,0,0,0,0,171,3,0,6.9,0,0,0,0,0,0,0,0,1792,0,0,1,2,0,2,7,50,0,48,27,56.25,13,29,14,33,100,58.13953488,65,435,402,837,172.5,3,1,1253,14,2,0
David Raya,Arsenal,G,52,0,0,85,196,34.20593368,160,547,707,64.80293309,10,90.90909091,1,37,0,0,0,305,0,0,0,19,37,37,0,0,0,1,1,3,0.11611292,,0,0,0,130,0,0,26,20,6,0,0,-1.1335,15,100,0,33,0,384,1,3,0,37,3330,0,0,0,0,0,0,0,0,0,0,0,395,0,10,6.9,0,0,32,44,15,60,0,11,0,0,0,0,0,0,0,1,100,32,1,1,100,3,84,1,0,25,96.15384615,573,505,586,1091,255.3,0,2,1438,14,1,0
Cristhian Mosquera,Arsenal,D,13,1,33.33333333,106,11,40.74074074,251,327,578,91.31121643,20,41.66666667,28,20,0,0,0,34,0,0,0,2,47,18,0,8,5,60,0,1,0.62860044,0.096,17,0,0,2,0,0,8,7,1,0,0,,40,55.55555556,0,0,0,55,8,5,0,9,1003,1,7,0,0,0,0,0,0,0,0,0,83,0,0,6.894444444,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,33.33333333,0,32,19,59.375,5,21,3,3,60,50,27,281,352,633,124.1,1,0,819,7,4,0
Riccardo Calafiori,Arsenal,D,12,3,14.28571429,194,20,47.61904762,344,303,647,85.58201058,48,62.33766234,29,26,2,0,0,73,0,3,10,4,50,25,0,10,8,80,0,1,0.75683385,3.3382,26,0,3.125,0,1,3,8,6,2,1,0,,56,52.3364486,1,0,2,109,15,9,0,22,1707,4,5,0,0,0,0,0,0,0,0,0,201,5,0,6.872,0,0,0,0,0,0,0,0,1707,0,0,22,10,14,8,16,66.66666667,0,32,19,59.375,9,20,24,21,104,56.52173913,42,404,352,756,171.8,32,1,1160,10,5,0
Noni Madueke,Arsenal,F,8,16,20,171,11,55,246,67,313,76.15571776,10,45.45454545,12,26,1,0,0,35,7,2,10,0,8,25,0,17,21,96,0,0,2.82866454,1.2228,15,0,11.53846154,0,3,4,9,6,3,2,1,,65,43.62416107,1,0,0,98,5,22,2,16,1226,4,1,0,0,0,0,0,0,0,0,0,257,9,0,6.848,0,0,0,0,0,0,0,0,408.6666667,0,0,22,4,6,10,29,47.54098361,0,21,10,47.61904762,22,16,61,80,75,43.85964912,20,332,79,411,171.2,26,2,735,15,0,0
Ben White,Arsenal,D,7,3,18.75,116,10,32.25806452,172,117,289,81.63841808,12,44.44444444,15,12,1,0,0,28,3,0,1,3,25,12,0,2,8,31,0,0,0.68201301,0.4567,5,0,0,0,0,1,6,5,1,0,0,,24,60,0,0,0,65,9,8,0,9,713,3,4,0,0,0,0,0,0,0,0,0,100,4,0,6.841666667,0,0,0,0,0,0,0,0,0,0,0,3,2,3,1,3,75,0,15,9,60,8,22,4,16,36,53.73134328,31,224,130,354,82.1,5,0,546,6,0,0
Mikel Merino,Arsenal,M,8,0,0,97,8,34.7826087,172,109,281,75.94594595,28,39.43661972,43,22,3,0,0,57,4,5,6,2,19,22,0,17,6,93,0,0,1.45507573,3.3803,22,0,18.18181818,0,4,7,10,8,2,4,0,,51,50.4950495,3,0,0,89,10,12,0,10,1035,3,2,0,0,0,0,0,0,0,0,0,136,8,0,6.836363636,0,1,0,0,0,0,0,0,258.75,0,0,18,4,8,8,5,41.66666667,0,26,13,50,12,21,12,4,79,45.93023256,23,248,122,370,150.4,22,1,556,20,1,0
Max Dowman,Arsenal,M,0,1,16.66666667,26,1,100,39,7,46,88.46153846,0,0,2,6,0,0,0,13,0,0,1,0,0,6,0,7,3,25,0,0,0.31981857,1.1825,2,0,16.66666667,0,1,1,1,1,0,1,0,,15,39.47368421,0,0,0,6,1,4,1,1,162,0,0,0,0,0,0,0,0,0,0,1,36,1,0,6.766666667,0,0,0,0,0,0,0,0,162,0,0,5,1,4,1,6,35.29411765,0,2,2,100,4,1,17,6,15,37.5,1,45,7,52,40.6,6,0,115,7,0,0
Ethan Nwaneri,Arsenal,M,3,0,0,26,5,55.55555556,42,37,79,90.8045977,1,25,3,6,0,0,0,10,0,0,2,0,1,5,0,2,3,14,0,0,0.08285118,0.2321,2,0,0,0,0,0,0,0,0,0,0,,4,26.66666667,0,0,0,8,0,1,0,0,175,0,0,0,0,0,0,0,0,0,0,0,20,2,0,6.74,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,3,37.5,0,1,0,0,1,5,8,2,5,26.31578947,9,48,39,87,33.7,6,0,121,0,0,0
Kai Havertz,Arsenal,F,4,0,0,63,1,33.33333333,93,30,123,74.09638554,17,40.47619048,25,12,3,0,0,14,2,6,6,0,8,12,0,8,6,48,0,0,0.65939322,3.3114,8,0,11.11111111,0,2,5,4,4,0,2,0,,19,45.23809524,1,0,0,43,1,11,0,7,583,3,1,0,0,0,0,0,0,0,0,0,85,3,0,6.725,0,1,0,0,0,0,0,0,291.5,0,0,15,3,8,4,3,50,0,8,5,62.5,11,6,6,6,36,42.85714286,3,130,36,166,80.7,18,0,270,8,1,0
Myles Lewis-Skelly,Arsenal,D,5,0,0,80,9,56.25,162,188,350,91.62303665,6,35.29411765,11,20,0,0,0,30,0,0,1,2,11,18,0,7,4,34,0,1,0.20498921,0.107,10,0,0,0,0,0,8,8,0,0,0,,32,58.18181818,0,0,0,32,5,4,0,5,722,1,1,0,0,0,0,0,0,0,0,0,58,1,0,6.661111111,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,8,80,0,8,5,62.5,4,7,10,0,38,52.77777778,16,182,200,382,119.9,2,0,506,16,3,0
Gabriel Martinelli,Arsenal,F,5,9,24.32432432,86,4,26.66666667,140,49,189,72.4137931,8,30.76923077,18,30,4,0,0,52,4,7,7,0,10,29,0,26,6,75,0,2,1.26334949,3.9913,10,0,3.448275862,0,1,5,8,7,1,1,0,,47,45.19230769,0,0,0,72,1,13,0,11,1079,5,1,0,0,0,0,0,0,0,0,0,191,16,0,6.627586207,0,1,0,0,0,0,0,0,1079,0,0,26,3,9,13,22,57.89473684,0,12,8,66.66666667,13,11,38,37,55,42.30769231,15,201,60,261,192.2,29,0,520,14,3,0
Viktor Gyökeres,Arsenal,F,4,3,37.5,119,1,33.33333333,164,35,199,62.38244514,30,30.92783505,67,36,1,0,0,55,4,13,14,4,19,36,0,25,8,160,0,1,1.93781326,12.3978,35,0,25.45454545,0,14,15,14,11,3,13,1,,44,32.11678832,2,0,1,120,1,20,2,26,2254,4,3,0,0,3,0,100,0,3,0,0,270,20,0,6.611111111,0,10,0,0,0,0,0,0,161,0,0,51,4,19,22,7,18.91891892,0,7,5,71.42857143,20,12,37,8,74,31.62393162,3,267,52,319,238,55,3,652,31,5,0
Gabriel Jesus,Arsenal,F,4,0,0,40,0,0,67,16,83,76.85185185,10,34.48275862,19,14,0,0,0,19,0,6,3,0,5,14,0,11,1,48,0,0,0.27454109,2.6899,9,0,15.78947368,0,3,3,6,4,2,2,1,,13,30.95238095,0,0,1,25,3,3,0,3,421,7,0,0,0,0,0,0,0,0,0,0,67,3,0,6.592857143,0,3,0,0,0,0,0,0,140.3333333,0,0,17,2,4,12,8,50,0,4,0,0,3,7,16,0,23,32.3943662,2,84,24,108,92.3,19,0,214,1,3,0
Christian Nørgaard,Arsenal,M,2,0,0,9,0,0,24,27,51,83.60655738,2,40,3,7,0,0,0,4,0,0,0,0,8,6,0,1,4,11,0,0,0.03835556,0.0823,3,0,0,0,0,0,1,1,0,0,0,,3,27.27272727,0,0,0,10,0,0,0,1,108,0,1,0,0,0,0,0,0,0,0,0,16,1,0,6.583333333,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,3,2,66.66666667,0,5,0,1,5,31.25,4,32,29,61,39.5,2,0,90,0,0,0
Rodri,Manchester City,M,94,1,16.66666667,340,90,68.70229008,861,597,1458,90.11124845,39,78,11,21,0,0,0,107,2,0,6,3,41,20,0,11,15,59,0,3,2.58753492,1.1279,14,0,6.25,1,1,1,15,12,3,1,0,,79,62.20472441,1,0,1,160,14,25,0,17,1513,0,3,0,0,0,0,0,0,0,0,0,203,10,0,7.43,0,0,0,0,0,0,0,0,1513,0,0,8,8,7,3,7,46.66666667,0,41,22,53.65853659,25,134,15,6,118,66.66666667,131,974,644,1618,148.6,16,2,1869,31,3,0
Jérémy Doku,Manchester City,M,6,16,27.11864407,386,14,63.63636364,529,111,640,82.9015544,4,33.33333333,8,30,5,0,0,88,13,4,15,2,2,30,0,49,10,153,0,0,6.1822587,2.7456,23,0,12.82051282,0,5,10,18,15,3,3,2,,167,53.52564103,0,0,1,132,13,60,2,19,1784,3,0,0,1,0,0,0,0,0,0,2,378,20,0,7.39,0,3,0,0,0,0,0,0,356.8,0,0,27,12,9,15,84,56.75675676,0,23,15,65.2173913,59,10,148,59,171,52.77777778,22,649,123,772,221.7,39,5,1319,61,0,0
Erling Haaland,Manchester City,F,5,1,33.33333333,107,4,28.57142857,160,92,252,65.625,73,61.86440678,45,35,8,0,0,41,9,30,24,9,42,35,0,23,6,111,0,0,2.85330581,25.4326,24,0,21.42857143,0,27,35,32,25,7,26,1,,57,46.34146341,3,0,6,132,5,25,21,34,2958,5,1,0,0,4,0,75,0,3,0,0,225,13,0,7.311428571,0,3,0,0,0,0,0,0,109.5555556,0,0,114,12,43,59,17,53.125,0,15,9,60,25,13,32,3,130,53.94190871,14,265,119,384,255.9,126,6,778,25,2,0
Marc Guéhi,Manchester City,D,80,3,17.64705882,398,77,40.95744681,955,1115,2070,89.64919879,103,65.18987342,55,35,3,0,0,138,5,6,8,14,164,35,0,18,11,112,2,0,2.31957448,4.1206,25,0,9.375,37,3,6,35,28,7,3,0,,91,61.48648649,1,0,2,239,50,18,0,35,3150,0,23,0,0,0,0,0,0,0,0,1,300,5,0,7.3,0,2,0,0,0,0,0,0,1050,0,0,30,2,15,9,7,63.63636364,0,46,31,67.39130435,18,160,11,17,194,63.39869281,188,1116,1193,2309,255.5,32,5,2808,38,6,0
Rayan Cherki,Manchester City,M,46,24,30,480,31,48.4375,819,285,1104,86.45262334,1,12.5,7,33,12,0,0,91,19,2,23,3,7,33,0,34,19,132,0,1,8.65170311,4.1322,17,0,7.272727273,0,4,16,18,15,3,3,1,,111,47.03389831,0,0,3,173,7,61,0,19,1794,1,1,0,1,0,0,0,0,0,0,0,374,16,0,7.212121212,0,4,0,0,0,0,0,0,448.5,0,4,39,16,19,13,51,48.11320755,0,26,18,69.23076923,60,84,106,80,112,45.90163934,64,965,312,1277,238,55,3,1758,34,1,0
Rúben Dias,Manchester City,D,40,3,33.33333333,237,53,51.96078431,754,875,1629,92.97945205,58,65.16853933,31,26,0,0,0,73,0,1,3,11,117,26,0,3,2,54,0,2,0.63787195,0.5644,15,0,20,19,2,2,22,16,6,1,1,,24,51.06382979,0,0,0,123,23,7,0,24,2149,0,17,0,0,0,0,0,0,0,0,0,139,2,0,7.176923077,0,2,0,0,0,0,0,0,1074.5,0,0,6,4,3,4,3,50,0,13,6,46.15384615,7,80,6,9,82,60.29411765,102,832,920,1752,186.6,10,3,2012,9,3,0
James Trafford,Manchester City,G,3,0,0,1,13,31.70731707,3,84,87,73.72881356,1,100,0,4,0,0,0,35,0,0,0,1,6,4,0,0,0,0,1,0,0.00102173,,0,0,0,15,0,0,6,6,0,0,0,2.5347,4,100,0,2,0,31,0,0,0,4,360,0,0,0,0,0,0,0,1,0,0,0,31,0,1,7.175,0,0,8,10,4,14,0,5,0,0,0,0,0,0,0,1,100,7,2,1,50,0,3,1,0,5,100,41,26,92,118,28.7,0,0,158,1,0,0
Max Alleyne,Manchester City,D,2,0,0,13,8,80,57,63,120,93.75,3,100,0,2,0,0,0,4,0,1,0,0,4,2,0,1,0,2,0,0,0.0644063,0.259,0,0,0,6,0,0,1,0,1,0,0,,6,75,0,0,0,8,4,1,0,2,135,0,0,0,0,0,0,0,0,0,0,0,11,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3,75,0,3,3,100,1,3,4,0,9,81.81818182,10,63,65,128,14.2,2,0,148,0,0,0
Gianluigi Donnarumma,Manchester City,G,76,0,0,14,128,43.38983051,56,650,706,80.3185438,16,94.11764706,1,34,0,0,0,235,0,0,0,15,43,34,0,0,1,2,2,3,0.14837815,,0,0,0,105,0,0,29,22,7,0,0,5.8063,6,85.71428571,0,14,0,173,1,1,0,34,3060,0,0,0,0,0,0,0,1,0,1,0,179,0,27,7.023529412,0,0,17,56,19,78,1,21,0,0,0,0,0,0,0,2,100,16,0,0,0,1,119,2,0,22,91.66666667,295,172,707,879,238.8,0,0,1160,4,8,0
Antoine Semenyo,Manchester City,M,13,8,16.32653061,341,26,50,548,201,749,80.02136752,59,49.16666667,61,37,4,0,0,143,8,7,14,11,29,37,0,63,20,271,0,2,3.1198385,11.0931,56,1,20.48192771,0,17,21,52,44,8,13,4,,125,37.31343284,0,0,3,187,13,39,6,37,3200,19,7,0,0,2,1,50,0,1,0,0,520,24,0,7.018918919,0,11,0,0,0,0,0,0,188.2352941,50,2,61,22,28,41,59,44.36090226,0,45,32,71.11111111,39,18,133,49,184,40.43956044,52,703,233,936,259.7,83,4,1702,21,7,0
Phil Foden,Manchester City,M,53,40,33.61344538,373,50,63.29113924,695,372,1067,88.18181818,6,25,18,33,5,0,0,102,11,6,19,7,12,33,0,33,14,104,0,2,4.76802736,6.421,18,0,12.72727273,0,7,12,19,14,5,5,2,,90,51.13636364,2,0,1,143,9,55,4,23,2107,3,3,0,1,0,0,0,0,0,0,0,320,10,0,7.006060606,0,1,0,0,0,0,0,0,301,0,2,30,25,17,19,25,53.19148936,0,34,16,47.05882353,54,81,47,119,96,48,79,809,401,1210,231.2,55,3,1662,31,4,0
Joško Gvardiol,Manchester City,D,45,1,50,203,38,48.71794872,494,442,936,89.3982808,29,54.71698113,24,18,2,0,0,50,1,2,4,5,61,18,0,4,1,48,0,2,0.71457106,2.3961,16,0,11.76470588,23,2,4,13,10,3,2,0,,27,52.94117647,1,0,1,111,15,6,0,16,1374,0,10,0,2,0,1,0,0,0,0,0,135,0,0,6.994444444,0,1,0,0,0,0,0,0,687,0,0,14,3,7,6,2,33.33333333,0,18,13,72.22222222,4,66,6,2,56,53.84615385,78,564,483,1047,125.9,17,1,1249,7,2,0
Nico González,Manchester City,M,28,1,33.33333333,299,35,57.37704918,731,458,1189,90.34954407,33,54.09836066,28,25,0,0,0,90,1,0,9,4,44,25,0,15,10,85,0,2,1.11482604,0.697,30,0,7.142857143,4,1,1,18,15,3,0,1,,72,55.81395349,0,0,0,127,24,11,0,17,1575,0,6,0,0,0,0,0,0,0,0,0,171,13,0,6.968,0,1,0,0,0,0,0,0,1575,0,0,3,11,3,2,12,70.58823529,0,42,30,71.42857143,11,48,17,3,105,55.26315789,61,815,501,1316,174.2,14,1,1571,18,6,0
Matheus Nunes,Manchester City,D,45,16,24.24242424,600,61,51.69491525,1153,769,1922,89.10523876,42,60.86956522,27,34,5,0,0,169,6,0,1,12,100,34,0,18,21,110,1,2,2.24010712,0.3479,17,0,14.28571429,0,1,6,28,21,7,1,0,,115,58.08080808,0,0,0,235,30,28,0,32,2865,4,8,0,0,0,1,0,0,0,0,1,404,8,0,6.947058824,0,1,0,0,0,0,0,0,2865,0,0,2,5,4,2,28,49.12280702,0,57,40,70.1754386,28,99,57,66,157,58.80149813,118,1304,853,2157,236.2,7,1,2886,30,5,0
Abdukodir Khusanov,Manchester City,D,22,1,33.33333333,130,41,51.89873418,432,559,991,91.75925926,15,50,15,21,0,0,0,75,0,1,0,5,56,21,0,2,3,36,0,1,0.56822332,0.6793,14,0,0,3,0,0,13,12,1,0,0,,40,65.57377049,0,0,0,89,33,6,0,15,1429,0,9,0,0,0,0,0,0,0,0,0,116,2,0,6.942857143,0,0,0,0,0,0,0,0,0,0,0,3,4,6,1,7,77.77777778,0,27,20,74.07407407,6,41,9,3,55,60.43956044,79,481,599,1080,145.8,7,0,1304,6,2,0
Rayan Aït-Nouri,Manchester City,D,3,6,27.27272727,182,7,35,345,188,533,90.33898305,14,60.86956522,9,17,2,0,0,49,2,1,2,4,18,15,0,12,6,63,0,1,2.02280583,0.5946,17,0,0,0,0,2,8,5,3,0,0,,67,55.37190083,0,0,0,57,13,12,0,12,976,0,1,0,0,0,0,0,0,0,0,0,130,5,0,6.9,0,0,0,0,0,0,0,0,0,0,0,4,6,6,2,22,52.38095238,0,35,22,62.85714286,12,8,42,22,81,56.25,20,381,209,590,103.5,10,1,875,10,2,0
Nico O'Reilly,Manchester City,D,14,9,23.68421053,326,17,31.48148148,703,464,1167,86.18906942,51,52.57731959,46,34,3,0,0,109,6,7,13,10,72,34,0,34,22,182,0,1,2.68562551,6.0288,45,0,12.19512195,0,5,8,25,21,4,5,0,,110,44.71544715,2,0,0,187,20,23,3,29,2648,1,12,0,0,0,0,0,0,0,0,0,368,11,0,6.870588235,0,0,0,0,0,0,0,0,529.6,0,0,33,8,13,15,24,40.6779661,0,68,36,52.94117647,23,33,59,38,161,46.93877551,54,826,528,1354,233.6,41,4,2068,18,5,0
Bernardo Silva,Manchester City,M,79,19,26.38888889,630,69,57.5,1121,868,1989,90.20408163,4,16,21,38,4,0,0,146,7,1,13,6,34,38,0,34,27,145,0,3,4.07883343,2.5639,37,0,6.666666667,5,2,6,30,23,7,2,0,,97,43.89140271,0,0,1,216,22,47,2,34,2890,5,6,0,0,0,0,0,0,0,0,0,369,19,0,6.85,0,0,0,0,0,0,0,0,1445,0,0,23,7,10,7,21,42.85714286,0,54,28,51.85185185,47,125,49,72,101,41.05691057,120,1282,923,2205,260.3,30,1,2661,22,10,0
Tijjani Reijnders,Manchester City,M,15,10,23.25581395,275,13,50,478,233,711,89.09774436,3,37.5,5,28,2,0,0,58,4,5,13,2,20,28,0,16,6,71,0,1,2.33562381,4.4517,19,0,10.20408163,0,5,7,18,15,3,5,0,,45,40.54054054,0,0,1,87,10,18,3,19,1640,4,1,0,1,0,0,0,0,0,0,0,199,15,0,6.839285714,0,2,0,0,0,0,0,0,328,0,3,29,20,20,16,20,43.47826087,0,10,4,40,17,32,46,43,48,40.33613445,26,550,248,798,191.5,49,1,1098,15,2,0
